"occurrenceID","basisOfRecord","eventDate","decimalLatitude","decimalLongitude","occurrenceStatus","countryCode","geodeticDatum","institutionCode","georeferenceProtocol","samplingProtocol","scientificName","scientificNameID","kingdom","taxonRank","coordinateUncertaintyInMeters","parentEventID"
"CCES_Drift-10_2018-09-27T10:06:58_ZC","MachineObservation","2018-09-27T10:06:58Z/2018-09-27T10:07:57Z",36.07738,-123.19652,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-10_2018-08-22T02:10:04Z"
"CCES_Drift-10_2018-09-28T04:47:23_ZC","MachineObservation","2018-09-28T04:47:23Z/2018-09-28T04:48:20Z",36.13448,-123.12949,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-10_2018-08-22T02:10:04Z"
"CCES_Drift-10_2018-09-28T05:07:11_ZC","MachineObservation","2018-09-28T05:07:11Z/2018-09-28T05:08:54Z",36.13451,-123.12744,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-10_2018-08-22T02:10:04Z"
"CCES_Drift-10_2018-10-01T03:27:55_ZC","MachineObservation","2018-10-01T03:27:55Z/2018-10-01T03:28:48Z",36.04405,-122.84933,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-10_2018-08-22T02:10:04Z"
"CCES_Drift-10_2018-10-01T16:47:40_ZC","MachineObservation","2018-10-01T16:47:40Z/2018-10-01T16:48:54Z",35.98141,-122.86011,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-10_2018-08-22T02:10:04Z"
"CCES_Drift-10_2018-10-01T17:06:59_ZC","MachineObservation","2018-10-01T17:06:59Z/2018-10-01T17:07:10Z",35.9797,-122.86099,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-10_2018-08-22T02:10:04Z"
"CCES_Drift-10_2018-10-02T16:26:59_ZC","MachineObservation","2018-10-02T16:26:59Z/2018-10-02T16:28:09Z",35.88816,-122.91881,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-10_2018-08-22T02:10:04Z"
"CCES_Drift-10_2018-10-04T20:47:10_ZC","MachineObservation","2018-10-04T20:47:10Z/2018-10-04T20:47:28Z",35.92559,-123.17496,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-10_2018-08-22T02:10:04Z"
"CCES_Drift-10_2018-10-06T09:46:58_ZC","MachineObservation","2018-10-06T09:46:58Z/2018-10-06T09:47:25Z",36.04597,-123.18298,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-10_2018-08-22T02:10:04Z"
"CCES_Drift-10_2018-10-18T18:07:08_ZC","MachineObservation","2018-10-18T18:07:08Z/2018-10-18T18:07:44Z",36.11574,-123.0625,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-10_2018-08-22T02:10:04Z"
"CCES_Drift-10_2018-10-19T01:07:01_ZC","MachineObservation","2018-10-19T01:07:01Z/2018-10-19T01:07:02Z",36.09347,-123.05252,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-10_2018-08-22T02:10:04Z"
"CCES_Drift-10_2018-10-19T15:46:58_ZC","MachineObservation","2018-10-19T15:46:58Z/2018-10-19T15:47:03Z",36.05705,-123.04921,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-10_2018-08-22T02:10:04Z"
"CCES_Drift-10_2018-10-20T06:26:58_ZC","MachineObservation","2018-10-20T06:26:58Z/2018-10-20T06:28:07Z",36.02663,-123.04996,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-10_2018-08-22T02:10:04Z"
"CCES_Drift-12_2018-08-30T10:18:52_ZC","MachineObservation","2018-08-30T10:18:52Z/2018-08-30T10:19:37Z",34.84145,-123.86497,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-12_2018-08-30T02:58:47Z"
"CCES_Drift-12_2018-08-30T10:39:27_ZC","MachineObservation","2018-08-30T10:39:27Z/2018-08-30T10:40:24Z",34.84145,-123.86505,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-12_2018-08-30T02:58:47Z"
"CCES_Drift-12_2018-08-30T13:58:44_ZC","MachineObservation","2018-08-30T13:58:44Z/2018-08-30T13:59:31Z",34.83617,-123.89331,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-12_2018-08-30T02:58:47Z"
"CCES_Drift-12_2018-08-30T14:19:23_ZC","MachineObservation","2018-08-30T14:19:23Z/2018-08-30T14:19:29Z",34.83572,-123.89732,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-12_2018-08-30T02:58:47Z"
"CCES_Drift-12_2018-08-30T18:38:44_ZC","MachineObservation","2018-08-30T18:38:44Z/2018-08-30T18:38:50Z",34.83493,-123.93028,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-12_2018-08-30T02:58:47Z"
"CCES_Drift-12_2018-08-31T00:58:55_ZC","MachineObservation","2018-08-31T00:58:55Z/2018-08-31T00:59:58Z",34.82981,-123.98621,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-12_2018-08-30T02:58:47Z"
"CCES_Drift-12_2018-08-31T05:59:03_ZC","MachineObservation","2018-08-31T05:59:03Z/2018-08-31T05:59:57Z",34.82035,-124.02504,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-12_2018-08-30T02:58:47Z"
"CCES_Drift-12_2018-08-31T20:18:55_ZC","MachineObservation","2018-08-31T20:18:55Z/2018-08-31T20:19:35Z",34.77632,-124.15466,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-12_2018-08-30T02:58:47Z"
"CCES_Drift-12_2018-08-31T21:58:53_ZC","MachineObservation","2018-08-31T21:58:53Z/2018-08-31T21:59:46Z",34.77102,-124.16821,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-12_2018-08-30T02:58:47Z"
"CCES_Drift-12_2018-09-01T07:38:55_ZC","MachineObservation","2018-09-01T07:38:55Z/2018-09-01T07:39:23Z",34.722,-124.24863,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-12_2018-08-30T02:58:47Z"
"CCES_Drift-12_2018-09-02T04:39:36_ZC","MachineObservation","2018-09-02T04:39:36Z/2018-09-02T04:40:08Z",34.59662,-124.39708,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-12_2018-08-30T02:58:47Z"
"CCES_Drift-12_2018-09-02T16:59:02_ZC","MachineObservation","2018-09-02T16:59:02Z/2018-09-02T17:00:16Z",34.53007,-124.41985,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-12_2018-08-30T02:58:47Z"
"CCES_Drift-12_2018-09-03T00:58:44_ZC","MachineObservation","2018-09-03T00:58:44Z/2018-09-03T00:59:57Z",34.49752,-124.41056,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-12_2018-08-30T02:58:47Z"
"CCES_Drift-12_2018-09-03T22:19:22_ZC","MachineObservation","2018-09-03T22:19:22Z/2018-09-03T22:19:33Z",34.46788,-124.37959,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-12_2018-08-30T02:58:47Z"
"CCES_Drift-12_2018-09-04T05:18:50_ZC","MachineObservation","2018-09-04T05:18:50Z/2018-09-04T05:19:07Z",34.45321,-124.39012,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-12_2018-08-30T02:58:47Z"
"CCES_Drift-12_2018-09-04T08:38:49_ZC","MachineObservation","2018-09-04T08:38:49Z/2018-09-04T08:40:38Z",34.45633,-124.38843,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-12_2018-08-30T02:58:47Z"
"CCES_Drift-12_2018-09-04T12:59:22_ZC","MachineObservation","2018-09-04T12:59:22Z/2018-09-04T13:00:40Z",34.45477,-124.38969,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-12_2018-08-30T02:58:47Z"
"CCES_Drift-12_2018-09-05T10:18:44_ZC","MachineObservation","2018-09-05T10:18:44Z/2018-09-05T10:20:23Z",34.44651,-124.44115,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-12_2018-08-30T02:58:47Z"
"CCES_Drift-12_2018-09-05T20:19:04_ZC","MachineObservation","2018-09-05T20:19:04Z/2018-09-05T20:19:05Z",34.43746,-124.47652,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-12_2018-08-30T02:58:47Z"
"CCES_Drift-12_2018-09-06T14:39:05_ZC","MachineObservation","2018-09-06T14:39:05Z/2018-09-06T14:39:06Z",34.39682,-124.55157,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-12_2018-08-30T02:58:47Z"
"CCES_Drift-12_2018-09-06T20:40:14_ZC","MachineObservation","2018-09-06T20:40:14Z/2018-09-06T20:40:32Z",34.37785,-124.56929,"present","US","WGS84","SWFSC","SPOT GPS","https://doi.org/10.6084/m9.figshare.19358036","Ziphius cavirostris","urn:lsid:marinespecies.org:taxname:137127","Animalia","Species",4000,"CCES_Drift-12_2018-08-30T02:58:47Z"
